referencenumber,mainstreet,crossstreet1,requesttype,statusdescription,outcome,year,daterequested,statusdate,main_norm,cross_norm,geocode_status,review_note
CQ25-0361B,WOODHAVEN BOULEVARD,ELIOT AVENUE,Traffic Signal,Engineering Study Completed     (Signals Engineering),denied,2025,2025-02-10,2025-07-29T00:00:00.000,WOODHAVEN BOULEVARD,ELIOT AVENUE,unmatched,"No in-polygon local match from crash intersection, SRTS endpoint, street-line intersection, or manual override tiers."
CQ24-0062B,WOODHAVEN BOULEVARD,ELIOT AVENUE,Traffic Signal,Engineering Study Completed     (Signals Engineering),denied,2023,2023-12-12,2024-01-12T00:00:00.000,WOODHAVEN BOULEVARD,ELIOT AVENUE,unmatched,"No in-polygon local match from crash intersection, SRTS endpoint, street-line intersection, or manual override tiers."
CQ23-3106B,63 DRIVE,WOODHAVEN BOULEVARD,Traffic Signal,Engineering Study Completed     (Signals Engineering),denied,2023,2023-10-27,2024-03-13T00:00:00.000,63 DRIVE,WOODHAVEN BOULEVARD,unmatched,"No in-polygon local match from crash intersection, SRTS endpoint, street-line intersection, or manual override tiers."
CQ23-2644,WOODHAVEN BOULEVARD,ELIOT AVENUE,Traffic Signal,Study Request Denial,denied,2023,2023-09-18,2023-12-11T00:00:00.000,WOODHAVEN BOULEVARD,ELIOT AVENUE,unmatched,"No in-polygon local match from crash intersection, SRTS endpoint, street-line intersection, or manual override tiers."
CQ21-1495,ADMIRAL AVENUE,TERRACE COURT,All-Way Stop,Study Request Denial,denied,2021,2021-07-15,2022-05-04T00:00:00.000,ADMIRAL AVENUE,TERRACE COURT,unmatched,"No in-polygon local match from crash intersection, SRTS endpoint, street-line intersection, or manual override tiers."
CQ21-0577,CENTRE STREET,WYCKOFF AVENUE,Traffic Signal,Study Request Denial,denied,2021,2021-03-30,2021-10-12T00:00:00.000,CENTRE STREET,WYCKOFF AVENUE,unmatched,"No in-polygon local match from crash intersection, SRTS endpoint, street-line intersection, or manual override tiers."
CQ20-1961B,WOODHAVEN BOULEVARD,ELIOT AVENUE,Traffic Signal,Engineering Study Completed     (Signals Engineering),denied,2020,2020-09-22,2020-10-27T00:00:00.000,WOODHAVEN BOULEVARD,ELIOT AVENUE,unmatched,"No in-polygon local match from crash intersection, SRTS endpoint, street-line intersection, or manual override tiers."
CQ20-1439B,METROPOLITAN AVENUE,J ROBINSON PY WB EN METROPOLITAN,Traffic Signal,Engineering Study Completed     (Signals Engineering),denied,2020,2020-07-20,2020-10-27T00:00:00.000,METROPOLITAN AVENUE,J ROBINSON PY WB EN METROPOLITAN,unmatched,"No in-polygon local match from crash intersection, SRTS endpoint, street-line intersection, or manual override tiers."
CQ20-0888B,WOODHAVEN BOULEVARD,ELIOT AVENUE,Traffic Signal,Engineering Study Completed     (Signals Engineering),denied,2020,2020-03-09,2020-11-20T00:00:00.000,WOODHAVEN BOULEVARD,ELIOT AVENUE,unmatched,"No in-polygon local match from crash intersection, SRTS endpoint, street-line intersection, or manual override tiers."
CQ20-0278,LONG ISLAND EXPRESSWAY,58 ROAD,Traffic Signal,Study Request Denial,denied,2020,2020-01-16,2021-03-22T00:00:00.000,LONG ISLAND EXPRESSWAY,58 ROAD,unmatched,"No in-polygon local match from crash intersection, SRTS endpoint, street-line intersection, or manual override tiers."
